Time,Range,Vel,Lat_nominal,Lon_nominal,Alt_nominal
0,0,0,65.129778,-147.485462,0.2
0.1,0,2.5,65.129778,-147.485462,0.2
0.2,0,9.4,65.129778,-147.485462,0.2
0.3,0,17.3,65.129778,-147.485462,0.2
0.4,0,27.4,65.129778,-147.485462,0.2
0.5,0,35.5,65.129778,-147.485462,0.2
0.6,0,45.6,65.129778,-147.485462,0.2
0.7,0,52.5,65.129784,-147.485458,0.2
0.8,0,61.7,65.129791,-147.485458,0.2
0.9,0,71.1,65.129799,-147.485458,0.2
1,0,80.5,65.129814,-147.485458,0.2
1.1,0,90.1,65.129822,-147.485458,0.3
1.2,0,99.9,65.129837,-147.485443,0.3
1.3,0,109.8,65.129852,-147.485443,0.3
1.4,0,119.9,65.129875,-147.485443,0.3
1.5,0,130.2,65.12989,-147.485443,0.3
1.6,0,140.7,65.129906,-147.485443,0.3
1.7,0,151.4,65.129929,-147.485428,0.3
1.8,0,162.3,65.129951,-147.485428,0.3
1.9,0,173.4,65.129974,-147.485428,0.4
2,0,184.7,65.130005,-147.485413,0.4
2.1,0,196.2,65.130035,-147.485413,0.4
2.2,0,207.9,65.130066,-147.485397,0.4
2.3,0,219.8,65.130096,-147.485397,0.4
2.4,0,231.8,65.130135,-147.485397,0.5
2.5,0,244.1,65.130173,-147.485382,0.5
2.6,0,256.6,65.130211,-147.485367,0.5
2.7,0.1,269.2,65.130249,-147.485367,0.5
2.8,0.1,281.9,65.130295,-147.485352,0.6
2.9,0.1,294.7,65.130341,-147.485352,0.6
3,0.1,307.5,65.130386,-147.485336,0.6
3.1,0.1,320.3,65.130432,-147.485321,0.6
3.2,0.1,333.1,65.130486,-147.485321,0.7
3.3,0.1,345.9,65.130539,-147.485306,0.7
3.4,0.1,358.6,65.130592,-147.485291,0.7
3.5,0.1,371.2,65.130653,-147.485275,0.8
3.6,0.1,383.8,65.130714,-147.485275,0.8
3.7,0.1,396.2,65.130775,-147.48526,0.9
3.8,0.1,408.6,65.130844,-147.485245,0.9
3.9,0.1,420.8,65.130913,-147.485229,0.9
4,0.1,432.8,65.130974,-147.485214,1
4.1,0.1,444.6,65.131042,-147.485199,1
4.2,0.2,456.2,65.131119,-147.485184,1.1
4.3,0.2,467.7,65.131195,-147.485168,1.1
4.4,0.2,479.1,65.131271,-147.485153,1.2
4.5,0.2,490.3,65.131355,-147.485138,1.2
4.6,0.2,501.3,65.131432,-147.485123,1.3
4.7,0.2,512.3,65.131516,-147.485107,1.3
4.8,0.2,523.1,65.131599,-147.485077,1.4
4.9,0.2,533.8,65.131691,-147.485062,1.4
